Date,영업이익(원),금융손익(비영업)(원),관계기업투자등관련손익(비영업)(원),종가(원),수정주가(원),PBR,us_10_treasury,Quarter,equity,세전이익,순이익,ROE,COE,gm,수정주가_1주후,수정주가_2주후,수정주가_1달후,수정주가_3달후,수정주가_6달후,수익률_1주후,수익률_2주후,수익률_1달후,수익률_3달후,수익률_6달후,kospi,kospi_1주후,kospi_2주후,kospi_1달후,kospi_3달후,kospi_6달후,kospi_수익률_1주후,kospi_수익률_2주후,kospi_수익률_1달후,kospi_수익률_3달후,kospi_수익률_6달후,상대수익률_1주후,상대수익률_2주후,상대수익률_1달후,상대수익률_3달후,상대수익률_6달후
2022-12-05,1612070000000,-276489000000,-81707000000,50400,50400,0.95,3.5989999771118164,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.6389999771118164,0.5003563220031002,49900,48750,46950,45600,49700,-0.992063492063492,-3.273809523809524,-6.845238095238096,-9.523809523809524,-1.3888888888888888,2419.320068,2373.02002,2352.169922,2218.679932,2432.070068,2577.120117,-1.913762821728475,-2.775579258329037,-8.293244810963143,0.5270075740966408,6.522495765946747,0.921699329664983,-0.4982302654804873,1.4480067157250476,-10.050817097906165,-7.911384654835636
2022-12-06,1612070000000,-276489000000,-81707000000,50400,50400,0.95,3.513000011444092,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.553000011444092,0.4885314726531291,49850,48500,47350,46250,49250,-1.0912698412698412,-3.7698412698412698,-6.051587301587301,-8.234126984126984,-2.2817460317460316,2393.159912,2372.399902,2333.290039,2255.97998,2462.620117,2569.169922,-0.8674727457995279,-2.501708001199382,-5.732167387233085,2.9024472895315596,7.35471161444058,-0.22379709547031323,-1.2681332686418876,-0.31941991435421624,-11.136574273658544,-9.636457646186612
2022-12-07,1612070000000,-276489000000,-81707000000,50200,50200,0.94,3.4079999923706055,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.4479999923706055,0.46910368348227593,49800,48600,47100,47450,49050,-0.796812749003984,-3.187250996015936,-6.175298804780876,-5.47808764940239,-2.2908366533864544,2382.810059,2399.25,2328.949951,2264.649902,2463.350098,2601.360107,0.6899392143282912,-2.2603609463778858,-4.958857570443041,3.3800444435676265,9.171945836577487,-1.4867519633322752,-0.9268900496380503,-1.216441234337835,-8.858132092970017,-11.462782489963942
2022-12-08,1612070000000,-276489000000,-81707000000,50200,50200,0.94,3.490999937057495,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.530999937057495,0.48039590502160245,49300,48750,47600,46700,49450,-1.7928286852589643,-2.888446215139442,-5.179282868525896,-6.97211155378486,-1.4940239043824701,2371.080078,2360.969971,2356.72998,2289.969971,2431.909912,2615.409912,-0.42639247378468215,-0.6052135536520622,-3.420808421975193,2.5654904937377707,10.304579599272401,-1.3664362114742823,-2.2832326614873795,-1.7584744465507032,-9.53760204752263,-11.79860350365487
2022-12-09,1612070000000,-276489000000,-81707000000,50000,50000,0.94,3.566999912261963,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.606999912261963,0.490735774044765,48800,49000,47500,47500,49600,-2.4,-2.0,-5.0,-5.0,-0.8,2389.040039,2360.02002,2313.689941,2350.189941,2419.090088,2615.600098,-1.2147146354293499,-3.153990589104559,-1.626180280187422,1.2578294423469871,9.483309417234924,-1.18528536457065,1.1539905891045592,-3.373819719812578,-6.257829442346987,-10.283309417234925
2022-12-12,1612070000000,-276489000000,-81707000000,49900,49900,0.94,3.6110000610351562,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.6510000610351563,0.4967220361993313,48750,49250,46900,46600,49500,-2.3046092184368736,-1.3026052104208417,-6.012024048096192,-6.613226452905812,-0.8016032064128256,2373.02002,2352.169922,2317.139893,2351.310059,2394.590088,2610.850098,-0.8786313568479667,-2.3548106012186065,-0.9148663229566864,0.908971176737059,10.022253331010665,-1.425977861588907,1.0522053907977649,-5.097157725139506,-7.5221976296428705,-10.823856537423492
2022-12-13,1612070000000,-276489000000,-81707000000,49850,49850,0.94,3.500999927520752,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.540999927520752,0.4817564132499903,48500,49300,46500,46500,49150,-2.708124373119358,-1.103309929789368,-6.720160481444333,-6.720160481444333,-1.4042126379137412,2372.399902,2333.290039,2332.790039,2359.530029,2410.600098,2641.159912,-1.648535854643621,-1.6696115594427356,-0.5424832883001905,1.610192108328614,11.32861326513408,-1.0595885184757368,0.5663016296533676,-6.1776771931441425,-8.330352589772946,-12.732825903047821
2022-12-14,1612070000000,-276489000000,-81707000000,49800,49800,0.94,3.503000020980835,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.543000020980835,0.48202852787049777,48600,48200,45900,46950,49150,-2.4096385542168677,-3.2128514056224895,-7.83132530120482,-5.72289156626506,-1.3052208835341366,2399.25,2328.949951,2280.449951,2365.100098,2348.969971,2629.350098,-2.9300843596957358,-4.951549400854431,-1.423357382515374,-2.095656100864854,9.590501114931744,0.5204458054788681,1.738697995231942,-6.407967918689446,-3.627235465400206,-10.89572199846588
2022-12-15,1612070000000,-276489000000,-81707000000,49300,49300,0.93,3.450000047683716,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.490000047683716,0.4697665774948845,48750,47400,45900,47600,48850,-1.1156186612576064,-3.8539553752535496,-6.896551724137931,-3.4482758620689653,-0.9127789046653144,2360.969971,2356.72998,2236.399902,2386.090088,2379.719971,2637.949951,-0.17958682457126085,-5.276224201497897,1.063974438834569,0.7941651198578502,11.731618080796,-0.9360318366863456,1.422268826244347,-7.960526162972499,-4.242440981926816,-12.644396985461315
2022-12-16,1612070000000,-276489000000,-81707000000,48800,48800,0.92,3.4820001125335693,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.5220001125335694,0.46897633265558014,49000,47250,46600,47200,48500,0.4098360655737705,-3.1762295081967213,-4.508196721311475,-3.278688524590164,-0.6147540983606558,2360.02002,2313.689941,2225.669922,2399.860107,2377.909912,2619.080078,-1.9631222874117755,-5.692752470803188,1.6881249592111527,0.7580398406959338,10.977027983008384,2.3729583529855462,2.5165229626064667,-6.196321680522628,-4.0367283652860975,-11.59178208136904
